gb-2007-8-3-r43.pdf	107	EST
gb-2008-9-1-r11.pdf	648	CP
gb-2009-10-12-r141.pdf	302	PCA
gb-2011-12-11-r115.pdf	296	ROS
gb-2014-15-4-r55.pdf	342	GC
gb-2012-13-3-r23.pdf	55	GC
gb-2006-7-4-r34.pdf	146	DRA
gb-2004-5-11-r94.pdf	142	RC
gb-2006-7-10-r91.pdf	379	SD
gb-2011-12-8-r80.pdf	128	SD
gb-2002-3-12-research0072.pdf	159	RSS
gb-2005-6-4-r39.pdf	191	CH
gb-2009-10-9-r91.pdf	438	FLN
gb-2012-13-3-r24.pdf	603	API
gb-2011-12-10-r100.pdf	240	GC
gb-2007-8-2-r24.pdf	104	T1
gb-2013-14-12-r147.pdf	72	P5
gb-2005-6-7-p9.pdf	180	STR
gb-2014-15-3-r42.pdf	299	MIP
SCPDFS_23185.pdf	97	FBS
SCPDFS_40679.pdf	35	PDP
SCPDFS_24617.pdf	28	BS
gb-2012-13-5-r40.pdf	406	TF
SCPDFS_43881.pdf	15	WD
SCPDFS_12032.pdf	337	SEP
SCPDFS_10658.pdf	96	LP
SCPDFS_22969.pdf	72	TF
SCPDFS_22771.pdf	317	HR
gb-2004-5-8-r55.pdf	570	DC
SCPDFS_31589.pdf	472	ACTA
gb-2013-14-1-r1.pdf	554	RDP
SCPDFS_14197.pdf	53	TEM
gb-2000-1-1-reviews103.pdf	{130	{DD
gb-2001-2-10-reports4024.pdf	3	CB2
gb-2000-1-6-research0014.pdf	6	NR4
gb-2000-1-6-reviews0006.pdf	224	DC
gb-2000-1-6-reviews0006.pdf	238	TIGR
gb-2000-1-5-research0009.pdf	125	PIR
gb-2000-1-3-reviews1016.pdf	37	T
gb-2000-1-1-reviews108.pdf	3	CB2
gb-2000-1-4-reviews1023.pdf	100	tau
SCPDFS_44872.pdf	162	TTATATTTTA
journal.pone.0048908.pdf	345	Sainipaulia
SCPDFS_17552.pdf	352	des
SCPDFS_17552.pdf	360	des
SCPDFS_22293.pdf	85	inhibitor
SCPDFS_28620.pdf	72	genomic
SCPDFS_4541.pdf	277	Eph
journal.pone.0015131.pdf	589	AmJ
journal.pone.0071602.pdf		BMAC
journal.pmed.1000032.pdf	133	explica
journal.pone.0042190.pdf		PGLS
gb-2000-1-2-comment2002.pdf	104	X
gb-2000-1-2-comment2002.pdf	104	Y
gb-2000-1-4-reviews2001.pdf	36	TIGR
gb-2000-1-4-reviews2001.pdf		BLAST
gb-2000-1-6-reviews0006.pdf	68	TIGR
SCPDFS_22715.pdf	301	MERTK
journal.pone.0028896.pdf	223	MERTK
SCPDFS_32503.pdf	88	CFAP97
gb-2001-2-11-comment2009.pdf	55	EST
gb-2000-1-6-research0014.pdf	62	mol
journal.pmed.0040106.pdf	480	PSMB5
gb-2001-2-10-research0044.pdf	57	H
gb-2001-2-10-reviews1027.pdf	44	X
gb-2000-1-6-preprint0001.pdf	21	FOR
gb-2000-1-1-reviews001.pdf	459	E2
gb-2000-2-1-comment2001.pdf	41	Yes
gb-2000-1-1-reviews107.pdf		FISH
gb-2001-2-12-research0055.pdf		F5
gb-2000-1-6-preprint0001.pdf	20	HAS
gb-2000-1-6-preprint0001.pdf	16	CAN
gb-2001-2-12-research0055.pdf	158	F5
gb-2000-1-6-reviews1031.pdf	66	X
gb-2001-2-7-research0024.pdf	394	T
gb-2000-1-1-comment003.pdf	30	Y
gb-2000-1-6-research0014.pdf	87	GCG
journal.pgen.1001190.pdf	496	PSMB5
SCPDFS_25755.pdf	609	LMOD1
journal.pone.0087719.pdf	460	OCA2
SCPDFS_32443.pdf	88	SH3YL1
journal.pone.0019135.pdf	1011	HFE2
journal.pbio.0050316.pdf	651	SMR3B
journal.pone.0074394.pdf	239	D-X
SCPDFS_46824.pdf	106	PSMB5
journal.pone.0033299.pdf	591	GSTM1
journal.pone.0103009.pdf	287	TACE
