HP:0000001	All	C	1
HP:0000002	Abnormality of body height	C	4
HP:0000003	Multicystic kidney dysplasia	C	9
HP:0000004	Onset and clinical course	C	2
HP:0000005	Mode of inheritance	C	2
HP:0000006	Autosomal dominant inheritance	C	3
HP:0000007	Autosomal recessive inheritance	C	3
HP:0000008	Abnormality of female internal genitalia	C	7
HP:0000009	Functional abnormality of the bladder	C	7
HP:0000010	Recurrent urinary tract infections	C	6
HP:0000011	Neurogenic bladder	C	8
HP:0000012	Urinary urgency	C	8
HP:0000013	Hypoplasia of the uterus	C	10
HP:0000014	Abnormality of the bladder	C	6
HP:0000015	Bladder diverticula	C	7
HP:0000016	Urinary retention	C	8
HP:0000017	Nocturia	C	8
HP:0000020	Urinary incontinence	C	8
HP:0000021	Lower urinary tract dilatation	C	6
HP:0000022	Abnormality of male internal genitalia	C	7
HP:0000023	Inguinal hernia	C	6
HP:0000024	Prostatitis	C	9
HP:0000025	Functional abnormality of male internal genitalia	C	6
HP:0000026	Male hypogonadism	C	6
HP:0000027	Azoospermia	C	8
HP:0000028	Cryptorchidism	C	8
HP:0000029	Testicular atrophy	C	10
HP:0000031	Epididymitis	C	9
HP:0000032	Abnormality of male external genitalia	C	7
HP:0000033	Ambiguous genitalia, male	C	8
HP:0000034	Hydrocele testis	C	9
HP:0000035	Abnormality of the testis	C	8
HP:0000036	Abnormality of the penis	C	8
HP:0000037	Male pseudohermaphroditism	C	8
HP:0000039	Epispadias	C	8
HP:0000040	Enlarged penis	C	9
HP:0000041	Chordee	C	9
HP:0000042	Absent external genitalia	C	8
HP:0000044	Hypogonadotrophic hypogonadism	C	6
HP:0000045	Abnormality of the scrotum	C	8
HP:0000046	Scrotal hypoplasia	C	9
HP:0000047	Hypospadias	C	8
HP:0000048	Bifid scrotum	C	9
HP:0000049	Shawl scrotum	C	9
HP:0000050	Hypoplastic genitalia	C	8
HP:0000051	Perineal hypospadias	C	9
HP:0000053	Macroorchidism	C	9
HP:0000054	Micropenis	C	10
HP:0000055	Abnormality of female external genitalia	C	7
HP:0000056	Abnormality of the clitoris	C	8
HP:0000057	Clitoromegaly	C	9
HP:0000058	Abnormality of the labia	C	8
HP:0000059	Hypoplastic labia majora	C	9
HP:0000060	Clitoral hypoplasia	C	8
HP:0000061	Ambiguous genitalia, female	C	8
HP:0000062	Ambiguous genitalia	C	7
HP:0000063	Fused labia minora	C	9
HP:0000064	Hypoplastic labia minora	C	9
HP:0000065	Labial hypertrophy	C	9
HP:0000066	Labial hypoplasia	C	8
HP:0000068	Urethral atresia	C	6
HP:0000069	Abnormality of the ureter	C	6
HP:0000070	Ureterocele	C	7
HP:0000071	Ureteral stenosis	C	7
HP:0000072	Hydroureter	C	7
HP:0000073	Ureteral duplication	C	7
HP:0000074	Ureteropelvic junction obstruction	C	7
HP:0000075	Renal duplication	C	8
HP:0000076	Vesicoureteral reflux	C	7
HP:0000077	Abnormality of the kidney	C	6
HP:0000078	Abnormality of the genital system	C	4
HP:0000079	Abnormality of the urinary system	C	4
HP:0000080	Abnormality of genital physiology	C	5
HP:0000081	Duplicated collecting system	C	8
HP:0000082	Abnormality of renal physiology	C	6
HP:0000083	Renal insufficiency	C	7
HP:0000085	Horseshoe kidney	C	9
HP:0000086	Ectopic kidney	C	9
HP:0000089	Renal hypoplasia	C	9
HP:0000090	Nephronophthisis	C	9
HP:0000091	Abnormality of the renal tubule	C	8
HP:0000092	Tubular atrophy	C	9
HP:0000093	Proteinuria	C	5
HP:0000095	Morphological abnormalities of the glomeruli	C	8
HP:0000096	Glomerulosclerosis	C	9
HP:0000097	Focal segmental glomerulosclerosis	C	10
HP:0000098	Tall stature	C	5
HP:0000099	Glomerulonephritis	C	9
HP:0000100	Nephrotic syndrome	C	7
HP:0000103	Polyuria	C	8
HP:0000104	Renal agenesis	C	9
HP:0000105	Enlarged kidneys	C	8
HP:0000106	Progressive renal insufficiency	C	8
HP:0000107	Renal cysts	C	8
HP:0000108	Renal corticomedullary cysts	C	9
HP:0000110	Renal dysplasia	C	8
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	C	9
HP:0000112	Nephropathy	C	8
HP:0000113	Polycystic kidney dysplasia	C	9
HP:0000114	Proximal tubulopathy	C	9
HP:0000117	Renal phosphate wasting	C	7
HP:0000118	Phenotypic abnormality	C	2
HP:0000119	Abnormality of the genitourinary system	C	3
HP:0000120	Reduced creatinine clearance	C	8
HP:0000121	Nephrocalcinosis	C	8
HP:0000122	Unilateral renal agenesis	C	10
HP:0000123	Nephritis	C	8
HP:0000124	Renal tubular dysfunction	C	7
HP:0000125	Pelvic kidney	C	10
HP:0000126	Hydronephrosis	C	10
HP:0000127	Renal salt wasting	C	6
HP:0000128	Renal potassium wasting	C	7
HP:0000130	Abnormality of the uterus	C	8
HP:0000131	Uterine leiomyoma	C	7
HP:0000132	Menorrhagia	C	5
HP:0000133	Gonadal dysgenesis	C	7
HP:0000134	Female hypogonadism	C	6
HP:0000135	Hypogonadism	C	5
HP:0000136	Bifid uterus	C	9
HP:0000137	Abnormality of the ovary	C	8
HP:0000138	Ovarian cysts	C	9
HP:0000139	Uterine prolapse	C	6
HP:0000140	Abnormality of the menstrual cycle	C	5
HP:0000141	Amenorrhea	C	6
HP:0000142	Abnormality of the vagina	C	8
HP:0000143	Rectovaginal fistula	C	7
HP:0000144	Decreased fertility	C	6
HP:0000145	Transverse vaginal septum	C	10
HP:0000147	Polycystic ovaries	C	10
HP:0000148	Vaginal atresia	C	7
HP:0000149	Ovarian gonadoblastoma	C	8
HP:0000150	Gonadoblastoma	C	7
HP:0000151	Aplasia of the uterus	C	10
HP:0000152	Abnormality of head and neck	C	3
HP:0000153	Abnormality of the mouth	C	6
HP:0000154	Wide mouth	C	8
HP:0000155	Oral ulcer	C	9
HP:0000157	Abnormality of the tongue	C	8
HP:0000158	Macroglossia	C	6
HP:0000159	Abnormality of the lip	C	7
HP:0000160	Narrow mouth	C	8
HP:0000161	Median cleft lip	C	9
HP:0000162	Glossoptosis	C	9
HP:0000163	Abnormality of the oral cavity	C	7
HP:0000164	Abnormality of the teeth	C	8
HP:0000166	Severe periodontitis	C	10
HP:0000168	Abnormality of the gingiva	C	8
HP:0000169	Gingival fibromatosis	C	7
HP:0000171	Microglossia	C	10
HP:0000172	Abnormality of the uvula	C	10
HP:0000174	Abnormality of the palate	C	8
HP:0000175	Cleft palate	C	8
HP:0000176	Submucous cleft hard palate	C	9
HP:0000177	Abnormality of upper lip	C	8
HP:0000178	Abnormality of lower lip	C	8
HP:0000179	Thick lower lip vermilion	C	9
HP:0000180	Lobulated tongue	C	9
HP:0000183	Difficulty in tongue movements	C	10
HP:0000185	Cleft soft palate	C	8
HP:0000187	Broad alveolar ridges	C	9
HP:0000188	Short upper lip	C	9
HP:0000189	Narrow palate	C	9
HP:0000190	Abnormality of oral frenula	C	8
HP:0000191	Accessory oral frenulum	C	9
HP:0000193	Bifid uvula	C	11
HP:0000194	Open mouth	C	8
HP:0000196	Lower lip pit	C	9
HP:0000197	Abnormality of parotid gland	C	9
HP:0000198	Absence of Stensen duct	C	10
HP:0000199	Tongue nodules	C	9
HP:0000200	Short lingual frenulum	C	9
HP:0000201	Pierre-Robin sequence	C	7
HP:0000202	Oral cleft	C	7
