HP:0000001	All	
HP:0000002	Abnormality of body height	height|abnorm|bodi
HP:0000003	Multicystic kidney dysplasia	kidney|multicyst|dysplasia
HP:0000005	Mode of inheritance	mode|inherit
HP:0000006	Autosomal dominant inheritance	autosom|domin|inherit
HP:0000007	Autosomal recessive inheritance	autosom|recess|inherit
HP:0000008	Abnormality of female internal genitalia	intern|femal|abnorm|genitalia
HP:0000009	Functional abnormality of the bladder	function|bladder|abnorm
HP:0000010	Recurrent urinary tract infections	urinari|infect|recurr|tract
HP:0000011	Neurogenic bladder	bladder|neurogen
HP:0000012	Urinary urgency	urinari|urgenc
HP:0000013	Hypoplasia of the uterus	uterus|hypoplasia
HP:0000014	Abnormality of the bladder	bladder|abnorm
HP:0000015	Bladder diverticulum	diverticulum|bladder
HP:0000016	Urinary retention	urinari|retent
HP:0000017	Nocturia	nocturia
HP:0000019	Urinary hesitancy	urinari|hesit
HP:0000020	Urinary incontinence	incontin|urinari
HP:0000021	Megacystis	megacysti
HP:0000022	Abnormality of male internal genitalia	male|intern|abnorm|genitalia
HP:0000023	Inguinal hernia	inguin|hernia
HP:0000024	Prostatitis	prostat
HP:0000025	Functional abnormality of male internal genitalia	male|function|intern|abnorm|genitalia
HP:0000026	Male hypogonadism	male|hypogonad
HP:0000027	Azoospermia	azoospermia
HP:0000028	Cryptorchidism	cryptorchid
HP:0000029	Testicular atrophy	atrophi|testicular
HP:0000030	Testicular gonadoblastoma	testicular|gonadoblastoma
HP:0000031	Epididymitis	epididym
HP:0000032	Abnormality of male external genitalia	male|extern|abnorm|genitalia
HP:0000033	Ambiguous genitalia, male	ambigu|male|genitalia
HP:0000034	Hydrocele testis	hydrocel|testi
HP:0000035	Abnormality of the testis	abnorm|testi
HP:0000036	Abnormality of the penis	abnorm|peni
HP:0000037	Male pseudohermaphroditism	male|pseudohermaphrodit
HP:0000039	Epispadias	epispadia
HP:0000040	Enlarged penis	enlarg|peni
HP:0000041	Chordee	chorde
HP:0000042	Absent external genitalia	absent|extern|genitalia
HP:0000044	Hypogonadotrophic hypogonadism	hypogonadotroph|hypogonad
HP:0000045	Abnormality of the scrotum	scrotum|abnorm
HP:0000046	Scrotal hypoplasia	hypoplasia|scrotal
HP:0000047	Hypospadias	hypospadia
HP:0000048	Bifid scrotum	bifid|scrotum
HP:0000049	Shawl scrotum	scrotum|shawl
HP:0000050	Hypoplastic male external genitalia	male|genitalia|extern|hypoplast
HP:0000051	Perineal hypospadias	perin|hypospadia
HP:0000052	Urethral atresia, male	urethr|atresia|male
HP:0000053	Macroorchidism	macroorchid
HP:0000054	Micropenis	micropeni
HP:0000055	Abnormality of female external genitalia	femal|extern|abnorm|genitalia
HP:0000056	Abnormality of the clitoris	clitori|abnorm
HP:0000057	Clitoromegaly	clitoromegali
HP:0000058	Abnormality of the labia	labia|abnorm
HP:0000059	Hypoplastic labia majora	labia|majora|hypoplast
HP:0000060	Clitoral hypoplasia	hypoplasia|clitor
HP:0000061	Ambiguous genitalia, female	ambigu|femal|genitalia
HP:0000062	Ambiguous genitalia	ambigu|genitalia
HP:0000063	Fused labia minora	labia|minora|fuse
HP:0000064	Hypoplastic labia minora	labia|minora|hypoplast
